,CATEGORY,SUBCAT,SAMPLE,ORGAN FRACTION,C,H,O,C.1,H.1,O.1,CELL,HCELL,LIGH,LIGO,LIGC,TRIL,CTANN,ignition_delay,transit_distance
417,WOOD PLANTS,Hardwood,Peach,Pit,51.21,6.14,41.14,51.99,6.23,41.77,0.4202,0.2067,0.1382,0.0749,0.099,0.0455,0.0155,0.16048932805905217,0.027558566657317807
418,WOOD PLANTS,Hardwood,Prune,Pit,50.35,6.69,39.66,52.07,6.92,41.01,0.3704,0.2267,0.0022,0.1638,0.1123,0.0375,0.0871,0.1439741087769483,0.022860272331783484
419,WOOD PLANTS,Hardwood,Olive,Pruning,40.15,5.66,40.42,46.57,6.56,46.88,0.4959,0.3885,0.0009,0.0737,0.0,0.0115,0.0296,0.19896131881033777,0.04269135996820155
420,WOOD PLANTS,Hardwood,Orange tree,Pruning,46.45,5.29,42.76,49.15,5.6,45.25,0.4921,0.2325,0.0624,0.154,0.0,0.0398,0.0193,0.14607507305464412,0.027620795739402185
421,GRASS PLANTS,Grass,Miscanthus,Whole crop,48.20,5.40,42.10,50.37,5.64,43.99,0.4194,0.184,0.0014,0.1787,0.0275,0.0,0.1889,0.1253422060990057,0.021159373453014375
422,WOOD PLANTS,Hardwood,Grape,Pruning,47.57,5.85,43.14,49.26,6.06,44.68,0.4846,0.2144,0.0461,0.1907,0.0003,0.0312,0.0327,0.1337286811215056,0.025555830170279285
423,WOOD PLANTS,Hardwood,Walnut,Pruning,49.74,5.63,43.16,50.48,5.72,43.8,0.4601,0.1648,0.0073,0.1959,0.0655,0.0052,0.1011,0.14170218372745663,0.02630085972304507
424,WOOD PLANTS,Hardwood,Walnut,Pruning,49.86,5.83,43.30,50.37,5.89,43.74,0.4595,0.1834,0.0304,0.1908,0.0514,0.0193,0.0651,0.14389067223102325,0.026646556002286045
425,WOOD PLANTS,Hardwood,Almond,Pruning,50.30,5.62,41.71,51.52,5.75,42.72,0.4480,0.1694,0.0223,0.1324,0.1258,0.0124,0.0897,0.17327314922843032,0.030726596574037018
426,WOOD PLANTS,Hardwood,Grape,Pruning,47.88,4.97,44.15,49.36,5.13,45.51,0.4240,0.3206,0.008,0.1477,0.0106,0.0609,0.0282,0.14801130069163507,0.02511506151480678
427,WOOD PLANTS,Hardwood,Olive,Residue,45.15,5.63,37.56,51.11,6.37,42.52,0.4320,0.2302,0.1636,0.074,0.0381,0.0582,0.0039,0.15684422297375983,0.026942574007609396
428,WOOD PLANTS,Softwood,Pine,Residue,53.60,6.20,35.41,56.3,6.51,37.19,0.2561,0.1124,0.4671,0.028,0.0734,0.0631,0.0,0.12457129372566965,0.01928464848678384
429,WOOD PLANTS,Softwood,Spruce,Saw shavings,50.25,5.99,43.36,50.45,6.02,43.53,0.4563,0.1974,0.0536,0.1719,0.0475,0.0304,0.0428,0.1435906466903711,0.026283420412168843
430,GRASS PLANTS,Grass,Sericea Lespedeza,-,-,-,-,52.07,5.9,42.03,0.4858,0.2131,0.1257,0.0041,0.0192,0.152,0.0,0.1583684446521801,0.020939340938048164
431,WOOD PLANTS,Softwood,Pine,Sawdust,52.49,6.24,40.45,52.92,6.29,40.78,0.4892,0.2146,0.0686,0.0019,0.0104,0.2153,0.0,0.13976998774505608,0.015303061791451127
432,WOOD PLANTS,Unidentified,Unidentified,Sawdust,49.00,6.00,44.40,49.3,6.04,44.67,0.4833,0.2112,0.0433,0.1953,0.0017,0.0296,0.0357,0.1387890592925217,0.02655477357830809
433,GRASS PLANTS,Grass,Alfalfa,Stem,46.72,5.96,38.57,51.2,6.54,42.27,0.5022,0.2203,0.1329,0.0043,0.0203,0.1199,0.0,0.1669759817327162,0.024474722336625836
434,WOOD PLANTS,Unidentified,Unidentified,Briquette,50.98,6.20,42.23,51.28,6.24,42.48,0.4336,0.2142,0.1227,0.103,0.0637,0.048,0.0146,0.15515238780177518,0.027057737515621332
435,WOOD PLANTS,Softwood,Pine,Sawdust,49.45,5.95,43.59,49.95,6.01,44.04,0.4668,0.2005,0.0462,0.1889,0.0262,0.0288,0.0426,0.1399505514389679,0.02607838920499804
436,WOOD PLANTS,Softwood,Pine,Sawdust,51.99,6.28,41.16,52.29,6.31,41.4,0.4066,0.2096,0.1832,0.0502,0.0934,0.0499,0.0071,0.15374435703111605,0.026053875404826177
437,WOOD PLANTS,Unidentified,Unidentified,Sawdust,49.28,5.93,43.30,50.03,6.02,43.95,0.4053,0.2762,0.0029,0.1796,0.0328,0.0393,0.0638,0.1419017474141198,0.024375152045568105
438,GRASS PLANTS,Grass,Wheat,-,42.29,5.05,37.15,50.05,5.98,43.97,0.5241,0.2299,0.1462,0.001,0.0218,0.0769,0.0,0.18288830053407262,0.03101692953011341
439,WOOD PLANTS,Hardwood,Babassu,Husk,50.38,5.38,42.35,51.35,5.48,43.17,0.4269,0.2236,0.1606,0.0771,0.0506,0.0555,0.0057,0.15500815756887515,0.026648833688457017
440,WOOD PLANTS,Hardwood,Eucalyptus,Sawdust,48.20,5.30,42.20,50.37,5.54,44.1,0.3939,0.2336,0.0,0.1765,0.0521,0.003,0.1408,0.14009121360253765,0.024403240186707396
441,GRASS PLANTS,Grass,Grass from reserve nature,-,43.28,5.50,36.68,50.64,6.44,42.92,0.5397,0.2368,0.0683,0.0014,0.0103,0.1435,0.0,0.17382145123596893,0.024014664464048305
442,GRASS PLANTS,Grass,SugarCane,Bagasse,-,-,-,50.3,5.96,43.73,0.5426,0.2381,0.0796,0.0022,0.0121,0.1254,0.0,0.16683017186971283,0.024457330997806663
443,WOOD PLANTS,Unidentified,Unidentified,Sawdust pellets,47.20,6.50,45.30,47.68,6.57,45.76,0.6264,0.2749,0.0111,0.0004,0.0017,0.0855,0.0,0.19932620477121885,0.035023902748446245
444,WOOD PLANTS,Hardwood,Grape,Seed,54.01,6.83,35.00,56.36,7.13,36.52,0.3322,0.1458,0.2914,0.0003,0.0432,0.1871,0.0,0.1250597993966443,0.014452697161360639
